"Register address Field Type Accuracy Unit Min. Max. Read and write attributes Remarks Confidentiality level","Register address (Hex)","Field",,"Accuracy","Unit","Min","Max",,"Remarks",,"Mask claculation",
,"049F","ReactivePower_PCC_S","I16","0,01","kW",,,"R","S-phase PCC reactive power. The inverter end is positive for lead and negative for lag","End user",,0
,"04A0","PowerFactor_PCC_S","I16","0,001","p.u.",,,"R","S-phase PCC power factor. The inverter end is positive for lead and negative for lag","End user",,0
,"04A1","S_Rsvd1",,,,,,"R","S phase reserved 1","End user",,0
,"04A2","S_Rsvd2",,,,,,"R","S phase reserved 2","End user",,0
,"04A3","Voltage_Phase_T","U16","0,1","V",,,"R","T phase grid voltage","End user",1,34359738368
,"04A4","Current_Output_T","U16","0,01","A",,,"R","T-phase inverter output current","End user",1,68719476736
,"04A5","ActivePower_Output_T","I16","0,01","kW",,,"R","The T-phase inverter outputs active power. Discharge is positive, charge is negative","End user",,0
,"04A6","ReactivePower_Output_T","I16","0,01","kW",,,"R","The T-phase inverter outputs reactive power. The inverter end is positive for lead and negative for lag","End user",,0
,"04A7","PowerFactor_Output_T","I16","0,001","p.u.",,,"R","T-phase power factor. The inverter end is positive for lead and negative for lag","End user",,0
,"04A8","Current_PCC_T","U16","0,01","A",,,"R","T phase PCC current","End user",1,1099511627776
,"04A9","ActivePower_PCC_T","I16","0,01","kW",,,"R","T-phase PCC active power. Discharge is positive, charge is negative","End user",,0
,"04AA","ReactivePower_PCC_T","I16","0,01","kW",,,"R","T-phase PCC reactive power. The inverter end is positive for lead and negative for lag","End user",,0
,"04AB","PowerFactor_PCC_T","I16","0,001","p.u.",,,"R","T-phase PCC power factor. The inverter end is positive for lead and negative for lag","End user",,0
,"04AC","T_Rsvd1",,,,,,"R","T phase reserved 1","End user",,0
,"04AD","T_Rsvd2",,,,,,"R","T phase reserved 2","End user",,0
,"04AE","ActivePower_PV_Ext","U16","0,01","kW",,,"R","External power generation","End user",1,70368744177664
,"04AF","ActivePower_Load_Sys","U16","0,01","kW",,,"R","System total load power","End user",1,140737488355328
,"04B0","Voltage_Phase_L1N","U16","0,1","V",,,"R","Grid L1 to N voltage effective value","End user",,0
,"04B1","Current_Output_L1N","U16","0,01","A",,,"R","L1 output current effective value","End user",,0
,"04B2","ActivePower_Output_L1N","I16","0,01","kW",,,"R","Active power output on L1 line","End user",,0
"i","04B3","Current_PCC_L1N","U16","0,01","A",,,"R","Effective value of CT current on L1 line","End user",,0
,"04B4","ActivePower_PCC_L1N","I16","0,01","kW",,,"R","PCC active power on L1 line","End user",,0
,"04B5","Voltage_Phase_L2N","U16","0,1","V",,,"R","Grid L2 to N voltage effective value","End user",,0
,"04B6","Current_Output_L2N","U16","0,01","A",,,"R","L2 output current effective value","End user",,0
,"04B7","ActivePower_Output_L2N","I16","0,01","kW",,,"R","Active power output on L2 line","End user",,0
,"04B8","Current_PCC_L2N","U16","0,01","A",,,"R","Effective value of CT current on L2 line","End user",,0
,"04B9","ActivePower_PCC_L2N","I16","0,01","kW",,,"R","Active power output on L2 line","End user",,0
,"04BA","Voltage_Line_L1","U16","0,1","V",,,"R","L1 line voltage: voltage between R/S phase","End user",,
,"04BB","Voltage_Line_L2","U16","0,1","V",,,"R","L2 line voltage: voltage between S/T phase","End user",,
,"04BC","Voltage_Line_L3","U16","0,1","V",,,"R","L3 line voltage: voltage between T/R phase","End user",,
,"04BD",,,,,,,,,,,
,"04BE",,,,,,,,,,,
,"04BF",,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"off grid output(0x0500-0x057F)",,,,,,,,,,,,
,"0500","AddressMask_Realtime_EmergencyOutput1","U64",,,,,"R","Each bit of this field corresponds to the validity of 64 addresses above the address of this field (including the address of this field). Bit4 represents the address where the highest bit address of this field plus 1 is located.
0 means invalid; 1 means valid","End user","00000000","1C1C1C9F"
,"0501",,,,,,,,,"End user",,
,"0502",,,,,,,,,"End user",,
,"0503",,,,,,,,,"End user",,
,"0504","ActivePower_Load_Total","I16","0,01","kW",,,"R","Load active power. ","End user",1,16
,"0505","ReactivePower_Load_Total","I16","0,01","kW",,,"R","Load consumption is positive, and feedback is negative","End user",,0
,"0506","ApparentPower_Load_Total","I16","0,01","kW",,,"R","Load reactive power
Apparent power of the load. Load consumption is positive, and feedback is negative","End user",,0
,"0507","Frequency_Output","U16","0,01","Hz",,,"R","Output voltage frequency","End user",1,128
,"0508","ESOutput_Rsvd1",,,,,,"R","Off-grid total output reserved 1","End user",,0
,"0509","ESOutput_Rsvd2",,,,,,"R","Off-grid total output reserved 2","End user",,0
,"050A","Voltage_Output_R","U16","0,1","V",,,"R","R-phase inverter output voltage","End user",1,1024
,"050B","Current_Load_R","I16","0,01","A",,,"R","R phase load current","End user",1,2048
,"050C","ActivePower_Load_R","I16","0,01","kW",,,"R","R-phase load active power. Load consumption is positive, and feedback is negative.","End user",1,4096
,"050D","ReactivePower_Load_R","I16","0,01","kW",,,"R","R-phase load reactive power. The inverter end is positive for lead and negative for lag","End user",,0
,"050E","ApparentPower_Load_R","I16","0,01","kVA",,,"R","Apparent power of R-phase load. Load consumption is positive, and feedback is negative.","End user",,0
,"050F","LoadPeakRatio_R","U16","0,01","p.u.",,,"R","R phase load peak ratio","End user",,0
,"0510","ESR_Rsvd1",,,,,,"R","R phase reserved 1","End user",,0
,"0511","ESR_Rsvd2",,,,,,"R","R phase reserved 2","End user",,0
,"0512","Voltage_Output_S","U16","0,1","V",,,"R","S phase inverter output voltage","End user",1,262144
,"0513","Current_Load_S","I16","0,01","A",,,"R","S phase load current","End user",1,524288
,"0514","ActivePower_Load_S","I16","0,01","kW",,,"R","S-phase load active power. Load consumption is positive, and feedback is negative.","End user",1,1048576
,"0515","ReactivePower_Load_S","I16","0,01","kW",,,"R","S-phase load reactive power. The inverter end is positive for lead and negative for lag","End user",,0
,"0516","ApparentPower_Load_S","I16","0,01","kVA",,,"R","Apparent power of S-phase load. Load consumption is positive, and feedback is negative.","End user",,0
,"0517","LoadPeakRatio_S","U16","0,01","p.u.",,,"R","S phase load peak ratio","End user",,0
,"0518","ESS_Rsvd1",,,,,,"R","S phase reserved 1","End user",,0
,"0519","ESS_Rsvd2",,,,,,"R","S phase reserved 2","End user",,0
,"051A","Voltage_Output_T","U16","0,1","V",,,"R","T-phase inverter output voltage","End user",1,67108864
,"051B","Current_Load_T","I16","0,01","A",,,"R","T phase load current","End user",1,134217728
,"051C","ActivePower_Load_T","I16","0,01","kW",,,"R","T-phase load active power. Load consumption is positive, and feedback is negative.","End user",1,268435456
,"051D","ReactivePower_Load_T","I16","0,01","kW",,,"R","T-phase load reactive power. The inverter end is positive for lead and negative for lag","End user",,0
,"051E","ApparentPower_Load_T","I16","0,01","kVA",,,"R","Apparent power of T-phase load. Load consumption is positive, and feedback is negative.","End user",,0
,"051F","LoadPeakRatio_T","U16","0,01","p.u.",,,"R","T-phase load peak ratio","End user",,0
,"0520","EST_Rsvd1",,,,,,"R","T phase reserved 1","End user",,0
,"0521","EST_Rsvd2",,,,,,"R","T phase reserved 2","End user",,0
,"0522","Voltage_Output_L1N","U16","0,1","V",,,"R","Inverter L1 to N voltage effective value","End user",,0
,"0523","Current_Load_L1N","I16","0,01","A",,,"R","L1 load current effective value","End user",,0
,"0524","ActivePower_Load_L1N","I16","0,01","kW",,,"R","Load L1 to N active power","End user",,0
,"0525","Voltage_Output_L2N","U16","0,1","V",,,"R","Effective value of inverter L2 to N voltage","End user",,0
,"0526","Current_Load_L2N","I16","0,01","A",,,"R","L2 load current effective value","End user",,0
,"0527","ActivePower_Load_L2N","I16","0,01","kW",,,"R","Load L2 to N active power","End user",,0
,"0528",,,,,,,,,,,
,"0529",,,,,,,,,,,
,"052A",,,,,,,,,,,
,"052B",,,,,,,,,,,
,"052C",,,,,,,,,,,
,"052D",,,,,,,,,,,
,"052E",,,,,,,,,,,
,"052F",,,,,,,,,,,
,"0530",,,,,,,,,,,
,"0531",,,,,,,,,,,
,"0532",,,,,,,,,,,
,"0533",,,,,,,,,,,
,"0534",,,,,,,,,,,
,"0535",,,,,,,,,,,
,"0536",,,,,,,,,,,
,"0537",,,,,,,,,,,
,"0538",,,,,,,,,,,
,"0539",,,,,,,,,,,
,"053A",,,,,,,,,,,
,"053B",,,,,,,,,,,
,"053C",,,,,,,,,,,
,"053D",,,,,,,,,,,
,"053E",,,,,,,,,,,
,"053F",,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"PV input(0x0580-0x05FF)",,,,,,,,,,,,
,"0580","AddressMask_Realtime_Input_PV1","U64",,,,,"R","
Each bit of this field corresponds to the validity of 64 addresses above the address of this field (including the address of this field). Bit4 represents the address where the highest bit address of this field is plus 1.
0 means invalid; 1 means valid","End user","00000000","000003FF"
,"0581",,,,,,,,,"End user",,
,"0582",,,,,,,,,"End user",,
,"0583",,,,,,,,,"End user",,
,"0584","Voltage_PV1","U16","0,1","V",,,"R","The first PV voltage","End user",1,16
,"0585","Current_PV1","U16","0,01","A",,,"R","The first PV current","End user",1,32
,"0586","Power_PV1","U16","0,01","kW",,,"R","PV power of the first road","End user",1,64
,"0587","Voltage_PV2","U16","0,1","V",,,"R","The second PV voltage","End user",1,128
,"0588","Current_PV2","U16","0,01","A",,,"R","The second PV current","End user",1,256
,"0589","Power_PV2","U16","0,01","kW",,,"R","PV power of the 2nd road","End user",1,512
,"058A","Voltage_PV3","U16","0,1","V",,,"R","No. 3 PV voltage","End user",,0
,"058B","Current_PV3","U16","0,01","A",,,"R","No. 3 PV current","End user",,0
,"058C","Power_PV3","U16","0,01","kW",,,"R","No. 3 PV power","End user",,0
,"058D","Voltage_PV4","U16","0,1","V",,,"R","No. 4 PV voltage","End user",,0
,"058E","Current_PV4","U16","0,01","A",,,"R","No. 4 PV current","End user",,0
,"058F","Power_PV4","U16","0,01","kW",,,"R","No. 4 PV power","End user",,0
,"0590","Voltage_PV5","U16","0,1","V",,,"R","No. 5 PV voltage","End user",,0
,"0591","Current_PV5","U16","0,01","A",,,"R","No. 5 PV current","End user",,0
,"0592","Power_PV5","U16","0,01","kW",,,"R","No. 5 PV power","End user",,0
,"0593","Voltage_PV6","U16","0,1","V",,,"R","No. 6 PV voltage","End user",,0
,"0594","Current_PV6","U16","0,01","A",,,"R","No. 6 PV current","End user",,0
,"0595","Power_PV6","U16","0,01","kW",,,"R","No. 6 PV power","End user",,0
,"0596","Voltage_PV7","U16","0,1","V",,,"R","No. 7 PV voltage","End user",,0
,"0597","Current_PV7","U16","0,01","A",,,"R","No. 7 PV current","End user",,0
,"0598","Power_PV7","U16","0,01","kW",,,"R","No. 7 PV power","End user",,0
,"0599","Voltage_PV8","U16","0,1","V",,,"R","No. 8 PV voltage","End user",,0
,"059A","Current_PV8","U16","0,01","A",,,"R","No. 8 PV current","End user",,0
,"059B","Power_PV8","U16","0,01","kW",,,"R","No. 8 PV power","End user",,0
,"059C","Voltage_PV9","U16","0,1","V",,,"R","No. 9 PV voltage","End user",,0
,"059D","Current_PV9","U16","0,01","A",,,"R","No. 9 PV current","End user",,0
