,"Register address","Register DEC","Field","Type","Accuracy","Unit","Min","Max","Read/Write","Remarks","User",
,"0484","1156 ","Frequency_Grid","U16","0,01","Hz",,,"R","Grid frequency","End User",
,"0485","1157 ","ActivePower_Output_Total","I16","0,01","kW",,,"R","Total active power. Discharge is positive, charge is negative","End User",
,"0486","1158 ","ReactivePower_Output_Total","I16","0,01","kW",,,"R","Total reactive power. The inverter end is positive for leading and negative for lagging","End User",
,"0487","1159 ","ApparentPower_Output_Total","I16","0,01","kW",,,"R","Total apparent power. Discharge is positive, charge is negative","End User",
,"0488","1160 ","ActivePower_PCC_Total","I16","0,01","kW",,,"R","Total PCC active power. Selling electricity is positive, buying electricity is negative","End User",
,"0489","1161 ","ReactivePower_PCC_Total","I16","0,01","kW",,,"R","Total PCC reactive power. The inverter end is positive for lead and negative for lag","End User",
,"048A","1162 ","ApparentPower_PCC_Total","I16","0,01","kW",,,"R","Total PCC apparent power. Selling electricity is positive, buying electricity is negative","End User",
,"048B","1163 ","GridOutput_Rsvd1",,,,,,"R","Grid-connected output reserved 1","End User",
,"048C","1164 ","GridOutput_Rsvd2",,,,,,"R","Grid-connected output reserved 2","End User",
,"048D","1165 ","Voltage_Phase_R","U16","0,1","V",,,"R","R phase grid voltage","End User",
,"048E","1166 ","Current_Output_R","U16","0,01","A",,,"R","R-phase inverter output current","End User",
,"048F","1167 ","ActivePower_Output_R","I16","0,01","kW",,,"R","The R-phase inverter outputs active power. Discharge is positive, charge is negative","End User",
,"0490","1168 ","ReactivePower_Output_R","I16","0,01","kW",,,"R","The R-phase inverter outputs reactive power. The inverter end is positive for lead and negative for lag","End User",
,"0491","1169 ","PowerFactor_Output_R","I16","0,001","p.u.",,,"R","R-phase power factor. The inverter end is positive for lead and negative for lag","End User",
,"0492","1170 ","Current_PCC_R","U16","0,01","A",,,"R","R phase PCC current","End User",
,"0493","1171 ","ActivePower_PCC_R","I16","0,01","kW",,,"R","R-phase PCC active power","End User",
,"0494","1172 ","ReactivePower_PCC_R","I16","0,01","kW",,,"R","R-phase PCC reactive power. The inverter end is positive for lead and negative for lag","End User",
,"0495","1173 ","PowerFactor_PCC_R","I16","0,001","p.u.",,,"R","R-phase PCC power factor. The inverter end is positive for lead and negative for lag","End User",
,"0496","1174 ","R_Rsvd1",,,,,,"R","R phase reserved 1","End User",
,"0497","1175 ","R_Rsvd2",,,,,,"R","R phase reserved 2","End User",
,"0498","1176 ","Voltage_Phase_S","U16","0,1","V",,,"R","S phase grid voltage","End User",
,"0499","1177 ","Current_Output_S","U16","0,01","A",,,"R","S phase inverter output current","End User",
,"049A","1178 ","ActivePower_Output_S","I16","0,01","kW",,,"R","The S-phase inverter outputs active power. Discharge is positive, charge is negative","End User",
,"049B","1179 ","ReactivePower_Output_S","I16","0,01","kW",,,"R","The S-phase inverter outputs reactive power. The inverter end is positive for lead and negative for lag","End User",
,"049C","1180 ","PowerFactor_Output_S","I16","0,001","p.u.",,,"R","S-phase power factor. The inverter end is positive for lead and negative for lag","End User",
,"049D","1181 ","Current_PCC_S","U16","0,01","A",,,"R","S phase PCC current","End User",
,"049E","1182 ","ActivePower_PCC_S","I16","0,01","kW",,,"R","S-phase PCC active power. Discharge is positive, charge is negative","End User",
,"049F","1183 ","ReactivePower_PCC_S","I16","0,01","kW",,,"R","S-phase PCC reactive power. The inverter end is positive for lead and negative for lag","End User",
,"04A0","1184 ","PowerFactor_PCC_S","I16","0,001","p.u.",,,"R","S-phase PCC power factor. The inverter end is positive for lead and negative for lag","End User",
,"04A1","1185 ","S_Rsvd1",,,,,,"R","S phase reserved 1","End User",
,"04A2","1186 ","S_Rsvd2",,,,,,"R","S phase reserved 2","End User",
,"04A3","1187 ","Voltage_Phase_T","U16","0,1","V",,,"R","T phase grid voltage","End User",
,"04A4","1188 ","Current_Output_T","U16","0,01","A",,,"R","T-phase inverter output current","End User",
,"04A5","1189 ","ActivePower_Output_T","I16","0,01","kW",,,"R","The T-phase inverter outputs active power. Discharge is positive, charge is negative","End User",
,"04A6","1190 ","ReactivePower_Output_T","I16","0,01","kW",,,"R","The T-phase inverter outputs reactive power. The inverter end is positive for lead and negative for lag","End User",
,"04A7","1191 ","PowerFactor_Output_T","I16","0,001","p.u.",,,"R","T-phase power factor. The inverter end is positive for lead and negative for lag","End User",
,"04A8","1192 ","Current_PCC_T","U16","0,01","A",,,"R","T phase PCC current","End User",
,"04A9","1193 ","ActivePower_PCC_T","I16","0,01","kW",,,"R","T-phase PCC active power. Discharge is positive, charge is negative","End User",
,"04AA","1194 ","ReactivePower_PCC_T","I16","0,01","kW",,,"R","T-phase PCC reactive power. The inverter end is positive for lead and negative for lag","End User",
,"04AB","1195 ","PowerFactor_PCC_T","I16","0,001","p.u.",,,"R","T-phase PCC power factor. The inverter end is positive for lead and negative for lag","End User",
,"04AC","1196 ","T_Rsvd1",,,,,,"R","T phase reserved 1","End User",
,"04AD","1197 ","T_Rsvd2",,,,,,"R","T phase reserved 2","End User",
,"04AE","1198 ","ActivePower_PV_Ext","U16","0,01","kW",,,"R","External power generation","End User",
,"04AF","1199 ","ActivePower_Load_Sys","U16","0,01","kW",,,"R","System total load power","End User",
,"04B0","1200 ","Voltage_Phase_L1N","U16","0,1","V",,,"R","Grid L1 to N voltage effective value","End User",
,"04B1","1201 ","Current_Output_L1N","U16","0,01","A",,,"R","L1 output current effective value","End User",
,"04B2","1202 ","ActivePower_Output_L1N","I16","0,01","kW",,,"R","Active power output on L1 line","End User",
"i","04B3","1203 ","Current_PCC_L1N","U16","0,01","A",,,"R","Effective value of CT current on L1 line","End User",
,"04B4","1204 ","ActivePower_PCC_L1N","I16","0,01","kW",,,"R","PCC active power on L1 line","End User",
,"04B5","1205 ","Voltage_Phase_L2N","U16","0,1","V",,,"R","Grid L2 to N voltage effective value","End User",
,"04B6","1206 ","Current_Output_L2N","U16","0,01","A",,,"R","L2 output current effective value","End User",
,"04B7","1207 ","ActivePower_Output_L2N","I16","0,01","kW",,,"R","Active power output on L2 line","End User",
,"04B8","1208 ","Current_PCC_L2N","U16","0,01","A",,,"R","Effective value of CT current on L2 line","End User",
,"04B9","1209 ","ActivePower_PCC_L2N","I16","0,01","kW",,,"R","Active power output on L2 line","End User",
,"04BA","1210 ","Voltage_Line_L1","U16","0,1","V",,,"R","L1 line voltage: voltage between R/S phase","End User",
,"04BB","1211 ","Voltage_Line_L2","U16","0,1","V",,,"R","L2 line voltage: voltage between S/T phase","End User",
,"04BC","1212 ","Voltage_Line_L3","U16","0,1","V",,,"R","L3 line voltage: voltage between T/R phase","End User",
,"04BD","1213 ","Power_Factor","I16","0,001","p.u.",,,"R","Total power factor. Overrun is positive and lag is negative at the inverter end","End User",
,"04BE",,,,,,,,,,,
,"04BF",,,,,,,,,,,
,"04C0",,,,,,,,,,,
,"04C1",,,,,,,,,,,
,"04C2",,,,,,,,,,,
,"04C3",,,,,,,,,,,
,"04C4",,,,,,,,,,,
,"04C5",,,,,,,,,,,
,"04C6",,,,,,,,,,,
,"04C7",,,,,,,,,,,
,"04C8",,,,,,,,,,,
,"04C9",,,,,,,,,,,
,"04CA",,,,,,,,,,,
,"04CB",,,,,,,,,,,
,"04CC",,,,,,,,,,,
,"04CD",,,,,,,,,,,
,"04CE",,,,,,,,,,,
,"04CF",,,,,,,,,,,
,"04D0",,,,,,,,,,,
,"04D1",,,,,,,,,,,
,"04D2",,,,,,,,,,,
,"04D3",,,,,,,,,,,
,"04D4",,,,,,,,,,,
,"04D5",,,,,,,,,,,
,"04D6",,,,,,,,,,,
,"04D7",,,,,,,,,,,
,"04D8",,,,,,,,,,,
,"04D9",,,,,,,,,,,
,"04DA",,,,,,,,,,,
,"04DB",,,,,,,,,,,
,"04DC",,,,,,,,,,,
,"04DD",,,,,,,,,,,
,"04DE",,,,,,,,,,,
,"04DF",,,,,,,,,,,
,"04E0",,,,,,,,,,,
,"04E1",,,,,,,,,,,
,"04E2",,,,,,,,,,,
,"04E3",,,,,,,,,,,
,"04E4",,,,,,,,,,,
,"04E5",,,,,,,,,,,
,"04E6",,,,,,,,,,,
,"04E7",,,,,,,,,,,
,"04E8",,,,,,,,,,,
,"04E9",,,,,,,,,,,
,"04EA",,,,,,,,,,,
,"04EB",,,,,,,,,,,
,"04EC",,,,,,,,,,,
,"04ED",,,,,,,,,,,
,"04EE",,,,,,,,,,,
,"04EF",,,,,,,,,,,
